Epoch Number, Total Squared Error, 
1199, 0.094041, 
1200, 0.094037, 
1201, 0.094034, 
1202, 0.094030, 
1203, 0.094027, 
1204, 0.094023, 
1205, 0.094019, 
1206, 0.094016, 
1207, 0.094012, 
1208, 0.094009, 
1209, 0.094005, 
1210, 0.094002, 
1211, 0.093998, 
1212, 0.093995, 
1213, 0.093991, 
1214, 0.093987, 
1215, 0.093984, 
1216, 0.093980, 
1217, 0.093977, 
1218, 0.093973, 
1219, 0.093970, 
1220, 0.093966, 
1221, 0.093963, 
1222, 0.093959, 
1223, 0.093956, 
1224, 0.093952, 
1225, 0.093949, 
1226, 0.093946, 
1227, 0.093942, 
1228, 0.093939, 
1229, 0.093935, 
1230, 0.093932, 
1231, 0.093928, 
1232, 0.093925, 
1233, 0.093921, 
1234, 0.093918, 
1235, 0.093915, 
1236, 0.093911, 
1237, 0.093908, 
1238, 0.093904, 
1239, 0.093901, 
1240, 0.093898, 
1241, 0.093894, 
1242, 0.093891, 
1243, 0.093887, 
1244, 0.093884, 
1245, 0.093881, 
1246, 0.093877, 
1247, 0.093874, 
1248, 0.093871, 
1249, 0.093867, 
1250, 0.093864, 
1251, 0.093861, 
1252, 0.093857, 
1253, 0.093854, 
1254, 0.093851, 
1255, 0.093847, 
1256, 0.093844, 
1257, 0.093841, 
1258, 0.093837, 
1259, 0.093834, 
1260, 0.093831, 
1261, 0.093827, 
1262, 0.093824, 
1263, 0.093821, 
1264, 0.093817, 
1265, 0.093814, 
1266, 0.093811, 
1267, 0.093808, 
1268, 0.093804, 
1269, 0.093801, 
1270, 0.093798, 
1271, 0.093795, 
1272, 0.093791, 
1273, 0.093788, 
1274, 0.093785, 
1275, 0.093781, 
1276, 0.093778, 
1277, 0.093775, 
1278, 0.093772, 
1279, 0.093769, 
1280, 0.093765, 
1281, 0.093762, 
1282, 0.093759, 
1283, 0.093756, 
1284, 0.093752, 
1285, 0.093749, 
1286, 0.093746, 
1287, 0.093743, 
1288, 0.093740, 
1289, 0.093736, 
1290, 0.093733, 
1291, 0.093730, 
1292, 0.093727, 
1293, 0.093724, 
1294, 0.093720, 
1295, 0.093717, 
1296, 0.093714, 
1297, 0.093711, 
1298, 0.093708, 
1299, 0.093704, 
1300, 0.093701, 
1301, 0.093698, 
1302, 0.093695, 
1303, 0.093692, 
1304, 0.093688, 
1305, 0.093685, 
1306, 0.093682, 
1307, 0.093679, 
1308, 0.093676, 
1309, 0.093673, 
1310, 0.093670, 
1311, 0.093666, 
1312, 0.093663, 
1313, 0.093660, 
1314, 0.093657, 
1315, 0.093654, 
1316, 0.093651, 
1317, 0.093647, 
1318, 0.093644, 
1319, 0.093641, 
1320, 0.093638, 
1321, 0.093635, 
1322, 0.093632, 
1323, 0.093629, 
1324, 0.093625, 
1325, 0.093622, 
1326, 0.093619, 
1327, 0.093616, 
1328, 0.093613, 
1329, 0.093610, 
1330, 0.093607, 
1331, 0.093603, 
1332, 0.093600, 
1333, 0.093597, 
1334, 0.093594, 
1335, 0.093591, 
1336, 0.093588, 
1337, 0.093585, 
1338, 0.093582, 
1339, 0.093578, 
1340, 0.093575, 
1341, 0.093572, 
1342, 0.093569, 
1343, 0.093566, 
1344, 0.093563, 
1345, 0.093560, 
1346, 0.093557, 
1347, 0.093553, 
1348, 0.093550, 
1349, 0.093547, 
1350, 0.093544, 
1351, 0.093541, 
1352, 0.093538, 
1353, 0.093535, 
